average brightness per frame and standard deviation,,,,,,
name,year,part,era,decade,average,standard deviation
Nebesnyj tihohod,1945,,Stalin Period,1940s,70.63002569,73.756493
Padenie Berlina,1949,1,Stalin Period,1940s,80.04599345,85.13152133
Padenie Berlina,1949,2,Stalin Period,1940s,79.6931274,86.96307667
Maksim Perepelica,1955,,Khrushchev Period,1950s,75.47904617,78.70484307
Soldaty,1956,,Khrushchev Period,1950s,57.12185951,65.60526636
Otrjad Trubacheva Srajajetsja,1957,,Khrushchev Period,1950s,36.09627544,39.53139948
Dom v kotorom ja zhivu,1957,,Khrushchev Period,1950s,81.83388656,84.68735804
Ballada o soldate,1959,,Khrushchev Period,1950s,81.32271399,86.84226264
Evdokija,1961,,Khrushchev Period,1960s,82.53306166,85.68641552
V trudnyj chas,1961,,Khrushchev Period,1960s,58.87089949,70.08385454
Ivanovo Detstvo,1962,,Khrushchev Period,1960s,43.40602874,51.16066236
Na semi vetrah,1962,,Khrushchev Period,1960s,56.94497166,60.3773673
Zhivye i mertvye,1964,2,Khrushchev Period,1960s,63.26188779,67.61381455
Zhivye i mertvye,1964,1,Khrushchev Period,1960s,62.07250415,66.78268283
Zhavoronok,1964,,Khrushchev Period,1960s,84.48873354,92.36918502
Obyknovennyj fashizm,1965,2,Brezhnev Period,1960s,82.01859579,87.36003075
Obyknovennyj fashizm,1965,1,Brezhnev Period,1960s,86.13492425,90.69551071
Serdce druga,1966,,Brezhnev Period,1960s,54.44017477,63.46394964
Zimnee utro,1966,,Brezhnev Period,1960s,52.12544276,56.63169943
Hronika pikirujuschego bombardirovschika,1967,,Brezhnev Period,1960s,94.78899,106.756568
Zhenja Zhenechka i Katjusha,1967,,Brezhnev Period,1960s,85.50885734,98.04496319
Na vojne kak na vojne,1968,,Brezhnev Period,1960s,97.89532398,106.8129754
Schit i mech,1968,4,Brezhnev Period,1960s,66.00548459,72.78973773
Schit i mech,1968,3,Brezhnev Period,1960s,74.70018429,79.25613615
Schit i mech,1968,2,Brezhnev Period,1960s,66.93079964,71.47835775
Schit i mech,1968,1,Brezhnev Period,1960s,70.6543554,75.97785442
Osvobojdenije,1968,4,Brezhnev Period,1960s,43.87881938,48.16406596
Osvobojdenije,1968,5,Brezhnev Period,1960s,38.36986759,40.9644375
Osvobojdenije,1968,2,Brezhnev Period,1960s,44.40761155,47.42240047
Osvobojdenije,1968,1,Brezhnev Period,1960s,46.66995805,50.19786159
Osvobojdenije,1968,3,Brezhnev Period,1960s,47.16337926,49.56396844
Na puti v berlin,1969,,Brezhnev Period,1960s,76.65104148,82.21487777
Pjaterka otvajnyh,1970,,Brezhnev Period,1970s,42.04534229,44.37288074
Oficery,1971,,Brezhnev Period,1970s,76.27284156,83.91715159
Proverka na dorogah,1971,,Brezhnev Period,1970s,101.3531071,112.7984845
Zemlja do vostrebovanija,1972,2,Brezhnev Period,1970s,63.19422598,68.0082803
Zemlja do vostrebovanija,1972,1,Brezhnev Period,1970s,67.01850028,71.41814478
Semnadcat mgnovenij vesny,1973,7,Brezhnev Period,1970s,59.94465692,65.12326465
Semnadcat mgnovenij vesny,1973,11,Brezhnev Period,1970s,61.18089776,66.20239175
Semnadcat mgnovenij vesny,1973,5,Brezhnev Period,1970s,64.7246563,70.56319206
Semnadcat mgnovenij vesny,1973,6,Brezhnev Period,1970s,67.57007068,72.25480015
Semnadcat mgnovenij vesny,1973,12,Brezhnev Period,1970s,68.60713094,73.3419922
Semnadcat mgnovenij vesny,1973,3,Brezhnev Period,1970s,67.50813982,73.05258689
Semnadcat mgnovenij vesny,1973,1,Brezhnev Period,1970s,75.05972801,81.47376554
Semnadcat mgnovenij vesny,1973,4,Brezhnev Period,1970s,84.23776347,89.27560091
Semnadcat mgnovenij vesny,1973,9,Brezhnev Period,1970s,61.65354115,66.54386891
Semnadcat mgnovenij vesny,1973,2,Brezhnev Period,1970s,66.59625789,71.62400263
Semnadcat mgnovenij vesny,1973,10,Brezhnev Period,1970s,55.87547552,60.83680166
Semnadcat mgnovenij vesny,1973,8,Brezhnev Period,1970s,64.36717256,74.92178508
O teh kogo pomnju i ljublju,1973,,Brezhnev Period,1970s,98.59436851,104.7796835
Oni srazhalis za rodinu,1975,2,Brezhnev Period,1970s,71.54676961,76.58129631
Oni srazhalis za rodinu,1975,1,Brezhnev Period,1970s,87.83970765,91.68365879
Aleksandr Malenkij,1981,,Brezhnev Period,1980s,48.67483024,52.68099927
V nebe nochnye vedmy,1981,,Brezhnev Period,1980s,82.36581887,90.74660782
Shel chetvertyj god vojny,1983,,Brezhnev Period,1980s,26.90108831,30.99279241
Idi i smotri,1985,1,Gorbachev Perio,1980s,74.37495907,83.72996118
Idi i smotri,1985,2,Gorbachev Perio,1980s,73.43684895,83.35379375
Tainaja progulka,1985,,Gorbachev Perio,1980s,60.1211644,62.99338119
Bitva za Moskvu,1985,4,Gorbachev Perio,1980s,40.73531556,43.71503145
Bitva za Moskvu,1985,1,Gorbachev Perio,1980s,33.6571849,35.40702769
Bitva za Moskvu,1985,2,Gorbachev Perio,1980s,33.9114792,36.11811307
Bitva za Moskvu,1985,3,Gorbachev Perio,1980s,34.71242481,36.96770987
Soshedshie s nebes,1986,,Gorbachev Perio,1980s,117.2880282,127.6956364
Postarajsja ostatsja zhivym,1986,,Gorbachev Perio,1980s,55.08214065,69.33563417
Zavtra byla vojna,1987,,Gorbachev Perio,1980s,82.82896153,87.41944486
Stalingrad,1989,2,Gorbachev Perio,1980s,48.14668701,53.91411201
Stalingrad,1989,1,Gorbachev Perio,1980s,44.74603395,49.37482001
